FID,OBJECTID,SHAPE,ZST_ID,ZST_NAME,STR_NR,BETRIEBNAHME,RICHTUNG_1,RICHTUNG_2,LAGE,GERAETEART,GERAETEART_TXT,SE_ANNO_CAD_DATA
DAUERZAEHLOGD.491065,491065,POINT (16.36615030246453 48.21653691850283),1203,Maria-Theresien-Straße,,2007-12-18,F.J.Kai,,im Kreuzungsbereich mit Börsegasse nach Schutzweg,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491066,491066,POINT (16.40126036405712 48.22391687147822),4002,Lassalleestraße,,2011-01-01,,,Lassallestraße ON.19; Nebenfahrbahn,R_SG,RAD_Scheifengerät,
DAUERZAEHLOGD.491067,491067,POINT (16.338699758907122 48.19864922176369),4005,Neubaugürtel,,2013-09-06,,,Emil-Maurer-Platz,R_SG,RAD_Scheifengerät,
DAUERZAEHLOGD.491068,491068,POINT (16.389209067360028 48.128323459209824),1218,Spange Leopoldsdorf,,2016-11-09,Zentrum,Leopoldsdorf,In Spange Leopoldsdorf ca. 140m vor Kreisverkehr mit S1,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491069,491069,POINT (16.355726288275545 48.206856370975935),1217,Museumstraße,,2016-11-25,Landesgerichtsstraße,Getreidemarkt,"R1: Auerspergstraße ca. 10m nach SW; R2: in Museumstraße ca, 10m nach SW (im Kreuzungsbereich mit Lerchenfelder Straße)",M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491070,491070,POINT (16.35568311670861 48.24459767716876),1219,Barawitzkagasse,,2018-01-01,,,,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491071,491071,POINT (16.381600677900366 48.20306149760585),1220,Am Heumarkt,B1,2018-01-01,,,,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491072,491072,POINT (16.369857947210054 48.19471389575945),1625,Taubstummengasse,,2018-01-01,,,,M_SR,MIV_Seitenradar,
DAUERZAEHLOGD.491297,491297,POINT (16.387066991189783 48.15894902602852),1626,Ludwig-von-Höhnel-Gasse,B225,2018-01-01,,,,M_SR,MIV_Seitenradar,
DAUERZAEHLOGD.491298,491298,POINT (16.33477987864625 48.197304403121066),1627,Felberstraße,B224,2018-01-01,,,,M_SR,MIV_Seitenradar,
DAUERZAEHLOGD.491299,491299,POINT (16.37526435884883 48.16373874764555),1221,Grenzackerstraße,B225,2018-10-31,,,im Kreuzungsbereich,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491300,491300,POINT (16.36071102801286 48.210637356345146),1222,Universitätsring,,2018-11-08,,,ca. 10m nach Schutzweg vor dem Burgtheater,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491301,491301,POINT (16.367124157258235 48.23839119336738),1223,Adalbert-Stifter-Straße,B226,2019-09-13,,,Schleifen liegen jeweils nach dem Fußgängerschutzweg,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491302,491302,POINT (16.446343758431553 48.253621221659905),1224,Wagramer Straße II,B8,2019-09-20,,,Schleifen liegen jeweils 15m nach dem FG-Schutzweg,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491303,491303,POINT (16.343505558817167 48.22066837296194),1621,Währinger Gürtel Nord/Süd,B221,2010-01-13,,,AKH-Steg,M_SR,MIV_Seitenradar,
