ZNR,Public_Transport_Id
1075,60
1075,61
1075,845
1075,1187
1075,1370
1075,1640
1075,2462
1075,2468
1075,2469
1075,2470
1075,2502
1075,2513
1075,2520
1075,2521
1075,2522
1075,2523
1075,2524
1075,2798
1075,3518
1075,3522
1075,3528
1075,3529
1075,3681
1075,3803
1075,4291
1078,41
1078,78
1078,113
1078,114
1078,117
1078,151
1078,183
1078,240
1078,309
1078,310
1078,311
1078,312
1078,314
1078,337
1078,361
1078,374
1078,375
1078,409
1078,461
1078,491
1078,499
1078,502
1078,507
1078,590
1078,591
1078,592
1078,666
1078,761
1078,770
1078,776
1078,781
1078,782
1078,783
1078,784
1078,785
1078,787
1078,792
1078,793
1078,795
1078,796
1078,797
1078,824
1078,968
1078,1054
1078,1117
1078,1249
1078,1250
1078,1251
1078,1252
1078,1253
1078,1261
1078,1273
1078,1310
1078,1346
1078,1469
1078,1471
1078,1473
1078,1475
1078,1476
1078,1479
1078,1697
1078,1698
1078,1699
1078,1700
1078,1701
1078,1702
1078,1703
1078,1704
1078,1731
1078,1733
1078,1971
1078,1972
1078,2102
1078,2103
1078,2104
1078,2136
1078,2137
1078,2138
1078,2139
1078,2140
1078,2141
1078,2142
1078,2143
1078,2144
1078,2145
1078,2146
1078,2418
1078,2428
1078,3382
1078,3385
1078,3386
1078,3397
1078,3506
1078,3507
1078,3508
1078,3509
1078,3511
1078,3550
1078,3552
1078,3554
1078,3555
1078,3557
1078,3560
1078,3597
1078,3761
1078,3762
1078,3774
1078,3821
1078,3844
1078,4045
1078,4124
1078,4181
1078,4218
1078,4219
1078,4220
1078,4229
1078,4230
1078,4231
1078,4338
1078,4544
1078,4545
1078,4610
1089,88
1089,108
1089,195
1089,366
1089,391
1089,392
1089,646
1089,963
1089,964
1089,984
1089,991
1089,992
1089,993
1089,1086
1089,1266
1089,1267
1089,1268
1089,1269
1089,1270
1089,2149
1089,2472
1089,2473
1089,2612
1089,2613
1089,2614
1089,2615
1089,2620
1089,2623
1089,2624
1089,2627
1089,2632
1089,2633
1089,2778
1089,2782
1089,3125
1089,3126
1089,3132
1089,3133
1089,3534
1089,3535
1089,3632
1089,3828
1096,22
1096,69
1096,195
1096,295
1096,393
1096,811
1096,1067
1096,1084
1096,1086
1096,1263
1096,1266
1096,1267
1096,1268
1096,1269
1096,1392
1096,1395
1096,1396
1096,1397
1096,1398
1096,1540
1096,2149
1096,2476
1096,2614
1096,2615
1096,2620
1096,2621
1096,2622
1096,2634
1096,2643
1096,2781
1096,2787
1096,2788
1096,2794
1096,3117
1096,3131
1096,3828
1096,4187
1096,4188
1096,4189
1096,4333
1096,4335
1096,4336
1096,4339
1096,4343
1096,4344
1096,4345
1131,66
1131,81
1131,94
1131,153
1131,154
1131,156
1131,157
1131,158
1131,159
1131,209
1131,213
1131,225
1131,226
1131,317
1131,344
1131,399
1131,400
1131,459
1131,460
1131,488
1131,529
1131,530
1131,531
1131,546
1131,547
1131,567
1131,568
1131,569
1131,600
1131,650
1131,747
1131,978
1131,979
1131,980
1131,982
1131,1024
1131,1026
1131,1027
1131,1028
1131,1042
1131,1044
1131,1045
1131,1046
1131,1059
1131,1167
1131,1177
1131,1183
1131,1184
1131,1225
1131,1323
1131,1341
1131,1531
1131,1532
1131,1533
1131,1534
1131,1611
1131,1728
1131,1957
1131,1973
1131,1987
1131,1988
1131,2053
1131,2087
1131,2095
1131,2101
1131,2237
1131,2306
1131,2320
1131,2321
1131,2431
1131,2596
1131,2597
1131,2648
1131,3381
1131,3383
1131,3384
1131,3392
1131,3402
1131,3406
1131,3408
1131,3411
1131,3586
1131,3593
1131,3624
1131,3629
1131,3634
1131,3686
1131,3714
1131,3801
1131,3847
1131,3860
1131,3861
1131,3862
1131,3863
1131,3864
1131,3865
1131,3866
1131,3867
1131,4005
1131,4034
1131,4035
1131,4197
1131,4311
1131,4321
1131,4416
1131,4453
1131,4546
1131,4552
1170,11
1170,47
1170,57
1170,58
1170,80
1170,81
1170,141
1170,154
1170,170
1170,189
1170,229
1170,230
1170,231
1170,250
1170,334
1170,344
1170,387
1170,395
1170,396
1170,404
1170,455
1170,484
1170,485
1170,486
1170,487
1170,532
1170,533
1170,534
1170,535
1170,536
1170,537
1170,538
1170,539
1170,540
1170,541
1170,542
1170,543
1170,544
1170,545
1170,546
1170,547
1170,549
1170,550
1170,576
1170,577
1170,809
1170,837
1170,973
1170,1044
1170,1045
1170,1046
1170,1121
1170,1167
1170,1196
1170,1197
1170,1198
1170,1203
1170,1226
1170,1227
1170,1349
1170,1541
1170,1542
1170,1543
1170,1544
1170,1545
1170,1546
1170,1637
1170,1661
1170,1662
1170,1665
1170,1666
1170,1667
1170,1668
1170,1728
1170,1748
1170,1758
1170,1759
1170,1980
1170,1981
1170,1986
1170,2083
1170,2087
1170,2096
1170,2101
1170,2198
1170,2237
1170,2303
1170,2320
1170,2321
1170,2431
1170,2450
1170,2451
1170,2596
1170,2626
1170,2628
1170,2630
1170,2631
1170,2635
1170,2636
1170,2637
1170,2638
1170,2641
1170,2642
1170,3097
1170,3173
1170,3536
1170,3544
1170,3546
1170,3609
1170,3639
1170,3640
1170,3683
1170,3684
1170,3685
1170,3715
1170,3717
1170,3795
1170,3877
1170,4070
1170,4203
1170,4299
1170,4306
1170,4307
1170,4332
1170,4340
1170,4347
1170,4348
1170,4349
1170,4350
1170,4351
1170,4385
1170,4547
1170,4548
1170,4549
1170,4604
1171,11
1171,47
1171,57
1171,58
1171,80
1171,81
1171,141
1171,154
1171,170
1171,229
1171,230
1171,231
1171,334
1171,344
1171,387
1171,395
1171,396
1171,404
1171,455
1171,484
1171,485
1171,486
1171,487
1171,532
1171,533
1171,534
1171,535
1171,536
1171,537
1171,538
1171,539
1171,540
1171,541
1171,542
1171,543
1171,544
1171,545
1171,546
1171,547
1171,549
1171,550
1171,576
1171,577
1171,809
1171,837
1171,973
1171,1044
1171,1045
1171,1046
1171,1121
1171,1167
1171,1196
1171,1197
1171,1198
1171,1203
1171,1349
1171,1541
1171,1542
1171,1543
1171,1544
1171,1545
1171,1546
1171,1637
1171,1661
1171,1662
1171,1665
1171,1666
1171,1667
1171,1668
1171,1728
1171,1748
1171,1758
