Id,Name,Latitude,Longitude,Kategorie,Bezirk_Code
1241,Kliebergasse,48.1826733,16.3640567,Straßenbahn,905
1242,Matzleinsdorfer Platz,48.1804717,16.3592965,Straßenbahn,910
1243,Eichenstraße,48.1804786,16.349624,Straßenbahn,905
1244,Johann-Strauß-Gasse,48.1893992,16.3656463,Straßenbahn,904
1245,Dörfelstraße,48.1756118,16.3364559,Straßenbahn,912
1246,Bahnhof Meidling,48.1744728,16.3311036,Straßenbahn,912
1247,Johann-Strauß-Gasse,48.190513,16.3664731,Bus,904
1248,"Arbeitergasse, Gürtel",48.1844521,16.3456773,Straßenbahn,905
1249,Gumpendorfer Straße,48.1902381,16.3378983,Straßenbahn,906
1250,Margaretengürtel,48.1882472,16.3422383,Straßenbahn,905
1251,Mariahilfer Gürtel,48.1932059,16.3388912,Straßenbahn,906
1252,Gerstnerstraße/Westbahnhof,48.1954646,16.3382221,Straßenbahn,915
1253,Westbahnhof,48.1970366,16.3388432,Straßenbahn,915
1254,Knöllgasse,48.1777486,16.3583384,Straßenbahn,910
1255,Marx-Meidlinger-Straße,48.1803856,16.3439387,Straßenbahn,912
1256,Flurschützstraße/Längenfeldgasse,48.1792643,16.3397628,Bus,912
1257,Franz-Josefs-Bahnhof,48.2255544,16.3613518,Straßenbahn,909
1258,Friedensbrücke,48.2271709,16.3653623,Straßenbahn,920
1259,Auerspergstraße,48.2070149,16.3562122,Bus,901
1260,Volkstheater,48.2047743,16.3570952,Straßenbahn,907
1261,Westbahnhof,48.1966078,16.3391858,U-Bahn,907
1262,Burggasse-Stadthalle,48.202972,16.3372043,U-Bahn,907
1263,Dresdner Straße,48.2372654,16.380289,U-Bahn,920
1264,Jägerstraße,48.2351492,16.3686667,U-Bahn,920
1265,Floridsdorf,48.25616,16.4005619,U-Bahn,921
1266,Wien Handelskai,48.2420992,16.3858865,Zug,920
1267,Handelskai,48.2418317,16.3856787,U-Bahn,920
1268,Wien Handelskai,48.2419607,16.3852149,Zug,920
1269,Wien Handelskai,48.2419319,16.3852461,Zug,920
1270,Neue Donau,48.2462926,16.3947297,U-Bahn,921
1271,Niederhofstraße,48.1807593,16.3312344,U-Bahn,912
1272,Bahnhof Meidling,48.1735244,16.3315171,U-Bahn,912
1273,Gumpendorfer Straße,48.1907331,16.337523,U-Bahn,906
1274,Kaiserstraße/Westbahnstraße,48.2016689,16.3405581,Straßenbahn,907
1275,"Kaiserstraße, Burggasse",48.2045649,16.3399747,Straßenbahn,907
1276,"Kaiserstraße, Neustiftgasse",48.2057732,16.3397877,Straßenbahn,907
1277,"Kaiserstraße, Burggasse",48.2041152,16.3400991,Straßenbahn,907
1278,Lerchenfelder Straße,48.2081115,16.3393773,Straßenbahn,907
1279,Albertgasse,48.2106705,16.3433983,Straßenbahn,908
1280,Blindengasse,48.210736,16.3403776,Straßenbahn,908
1281,Lange Gasse,48.2145821,16.3510288,Straßenbahn,908
1282,Florianigasse,48.21232,16.3449877,Straßenbahn,908
1283,Laudongasse,48.2132778,16.3499014,Straßenbahn,908
1284,Laudongasse,48.2132127,16.3480542,Straßenbahn,908
1285,Wien St. Marx,48.188329,16.3987294,Zug,903
1286,Wien Geiselbergstraße,48.1753719,16.4071724,Zug,911
1287,Wien Zentralfriedhof,48.154109,16.4260368,Zug,911
1288,Wien Zentralfriedhof,48.15413,16.4261625,Zug,911
1289,Spitalgasse,48.2220313,16.3531421,Straßenbahn,909
1290,Laurenzgasse,48.1858612,16.3630063,Straßenbahn,905
1291,Pantucekgasse/Widholzgasse,48.1548074,16.4554128,Straßenbahn,911
1292,Leberberg,48.1551247,16.4591827,Straßenbahn,911
1293,Svetelskystraße,48.1545623,16.4664135,Straßenbahn,911
1294,"Kaiserebersdorf, Zinnergasse",48.1594856,16.4698994,Straßenbahn,911
1295,Valiergasse,48.1571046,16.4686584,Straßenbahn,911
1296,Simmering,48.1704646,16.4200935,Bus,911
1297,Braunhubergasse,48.1715677,16.4189858,Straßenbahn,911
1298,Fickeysstraße,48.1670225,16.4237271,Straßenbahn,911
1299,Weißenböckstraße,48.1622481,16.4284848,Straßenbahn,911
1300,Braunhubergasse,48.1719726,16.4185266,Straßenbahn,911
1301,Fickeysstraße,48.1668279,16.4238358,Straßenbahn,911
1302,Lazarettgasse,48.2192299,16.3518655,Straßenbahn,909
1303,Lange Gasse,48.2153349,16.3510323,Straßenbahn,909
1304,"Hernals, Wattgasse",48.221405,16.3216978,Straßenbahn,917
1305,Landesgerichtsstraße,48.2143765,16.357188,Straßenbahn,909
1306,Friedensbrücke,48.2271065,16.3651527,Straßenbahn,909
1307,Wien Meidling,48.1742424,16.3341178,Zug,912
1308,Wien Meidling,48.1745117,16.3340045,Zug,912
1309,Wien Meidling,48.1748153,16.3338769,Zug,912
1310,Margaretengürtel,48.1884733,16.3430254,U-Bahn,905
1311,Thaliastraße,48.2085421,16.338608,Straßenbahn,907
1312,"Heiligenstadt, 12.-Februar-Platz",48.2487575,16.3627102,Straßenbahn,919
1313,Halteraugasse,48.2521161,16.3639777,Straßenbahn,919
1314,Gunoldstraße,48.2450449,16.3617442,Straßenbahn,919
1315,Grinzinger Straße,48.2544502,16.3652856,Straßenbahn,919
1316,Halteraugasse,48.2517153,16.3638648,Straßenbahn,919
1317,Nußdorf,48.2601641,16.3668671,Straßenbahn,919
1318,Augasse,48.2299811,16.3568256,Straßenbahn,909
1319,Augasse,48.2300555,16.3573606,Straßenbahn,909
1320,Franz-Josefs-Bahnhof,48.2257477,16.3610985,Straßenbahn,909
1321,Schlickgasse,48.2185858,16.3643578,Straßenbahn,909
1322,Schlickgasse,48.2185997,16.3643948,Straßenbahn,909
1323,Karlsplatz,48.2010053,16.3693248,U-Bahn,901
1324,Schottentor,48.2150174,16.3629444,U-Bahn,909
1325,Volkstheater,48.2051574,16.357962,U-Bahn,907
1326,Palffygasse,48.2176091,16.3366346,Straßenbahn,917
1327,Alser Straße,48.2171985,16.3420445,Straßenbahn,909
1328,Elterleinplatz,48.2181394,16.331889,Straßenbahn,917
1329,Elterleinplatz,48.2184116,16.3309724,Straßenbahn,917
1330,Rosensteingasse,48.2191731,16.3270926,Straßenbahn,917
1331,Rosensteingasse,48.2190843,16.3272179,Straßenbahn,917
1332,Dornbach,48.2260653,16.3084888,Straßenbahn,917
1333,Hernals,48.2235796,16.3149581,Straßenbahn,917
