DATE,BICYCLE,BIKESHARING,BY_FOOT,CAR,CARSHARING,MOTORBIKE,PUBLIC_TRANSPORT
2018-02-01,0.06906906906906907,0.0,0.26326326326326327,0.2832832832832833,0.001001001001001001,0.005005005005005006,0.3783783783783783
2018-03-01,0.06906906906906907,0.0,0.26326326326326327,0.2832832832832833,0.001001001001001001,0.005005005005005006,0.3783783783783783
2018-04-01,0.06906906906906907,0.0,0.26326326326326327,0.2832832832832833,0.001001001001001001,0.005005005005005006,0.3783783783783783
2018-05-01,0.06906906906906907,0.0,0.26326326326326327,0.2832832832832833,0.001001001001001001,0.005005005005005006,0.3783783783783783
2018-06-01,0.06906906906906907,0.0,0.26326326326326327,0.2832832832832833,0.001001001001001001,0.005005005005005006,0.3783783783783783
2018-07-01,0.06906906906906907,0.0,0.26326326326326327,0.2832832832832833,0.001001001001001001,0.005005005005005006,0.3783783783783783
2018-08-01,0.06906906906906907,0.0,0.26326326326326327,0.2832832832832833,0.001001001001001001,0.005005005005005006,0.3783783783783783
2018-09-01,0.06906906906906907,0.0,0.26326326326326327,0.2832832832832833,0.001001001001001001,0.005005005005005006,0.3783783783783783
2018-10-01,0.06906906906906907,0.0,0.26326326326326327,0.2832832832832833,0.001001001001001001,0.005005005005005006,0.3783783783783783
2018-11-01,0.06906906906906907,0.0,0.26326326326326327,0.2832832832832833,0.001001001001001001,0.005005005005005006,0.3783783783783783
2018-12-01,0.06906906906906907,0.0,0.26326326326326327,0.2832832832832833,0.001001001001001001,0.005005005005005006,0.3783783783783783
2019-01-01,0.071,0.0,0.27699999999999997,0.267,0.002,0.003,0.38
2019-02-01,0.071,0.0,0.27699999999999997,0.267,0.002,0.003,0.38
2019-03-01,0.071,0.0,0.27699999999999997,0.267,0.002,0.003,0.38
2019-04-01,0.071,0.0,0.27699999999999997,0.267,0.002,0.003,0.38
2019-05-01,0.071,0.0,0.27699999999999997,0.267,0.002,0.003,0.38
2019-06-01,0.071,0.0,0.27699999999999997,0.267,0.002,0.003,0.38
2019-07-01,0.071,0.0,0.27699999999999997,0.267,0.002,0.003,0.38
2019-08-01,0.071,0.0,0.27699999999999997,0.267,0.002,0.003,0.38
2019-09-01,0.071,0.0,0.27699999999999997,0.267,0.002,0.003,0.38
2019-10-01,0.071,0.0,0.27699999999999997,0.267,0.002,0.003,0.38
2019-11-01,0.071,0.0,0.27699999999999997,0.267,0.002,0.003,0.38
2019-12-01,0.071,0.0,0.27699999999999997,0.267,0.002,0.003,0.38
2020-01-01,0.08608608608608609,0.0,0.37137137137137144,0.26926926926926925,0.0,0.005005005005005006,0.2682682682682683
2020-02-01,0.08608608608608609,0.0,0.37137137137137144,0.26926926926926925,0.0,0.005005005005005006,0.2682682682682683
2020-03-01,0.08608608608608609,0.0,0.37137137137137144,0.26926926926926925,0.0,0.005005005005005006,0.2682682682682683
2020-04-01,0.08608608608608609,0.0,0.37137137137137144,0.26926926926926925,0.0,0.005005005005005006,0.2682682682682683
2020-05-01,0.08608608608608609,0.0,0.37137137137137144,0.26926926926926925,0.0,0.005005005005005006,0.2682682682682683
2020-06-01,0.08608608608608609,0.0,0.37137137137137144,0.26926926926926925,0.0,0.005005005005005006,0.2682682682682683
2020-07-01,0.08608608608608609,0.0,0.37137137137137144,0.26926926926926925,0.0,0.005005005005005006,0.2682682682682683
2020-08-01,0.08608608608608609,0.0,0.37137137137137144,0.26926926926926925,0.0,0.005005005005005006,0.2682682682682683
2020-09-01,0.08608608608608609,0.0,0.37137137137137144,0.26926926926926925,0.0,0.005005005005005006,0.2682682682682683
