ZNR,DATE,DTVMS,ISTCOVID19,BEZIRK,AUSPENDLER,POP,PKW_DENSITY,BICYCLE,BIKESHARING,BY_FOOT,CAR,CARSHARING,MOTORBIKE,PUBLIC_TRANSPORT,DTVMS_fc_exog,DTVMS_fc_noex,DTVMS_fc_prophet,DTVMS_full_exog,DTVMS_full_noex,DTVMS_full_prophet,DTVMS_ensemble
1187,2025-08-01,,0.0,1230.0,0.1632115362200237,121312.28,529.0215007917757,0.0927372128953215,0.0,0.3537965190014752,0.2427404538457219,0.000622615236034,0.004874672289938,0.3052285267315092,21287.49167117721,18702.044091827884,17716.73678716578,21287.49167117721,18702.044091827884,17716.73678716578,18454.363892345194
1187,2025-09-01,,0.0,1230.0,0.1632115362200237,121312.28,529.0215007917757,0.0927372128953215,0.0,0.3537965190014752,0.2427404538457219,0.000622615236034,0.004874672289938,0.3052285267315092,19892.552257751697,18726.177775887754,19028.41842915188,19892.552257751697,18726.177775887754,19028.41842915188,18836.347520697997
1187,2025-10-01,,0.0,1230.0,0.1632115362200237,121312.28,529.0215007917757,0.0927372128953215,0.0,0.3537965190014752,0.2427404538457219,0.000622615236034,0.004874672289938,0.3052285267315092,19883.6510770176,18564.48394066709,18818.392127716223,19883.6510770176,18564.48394066709,18818.392127716223,18662.957352768
1187,2025-11-01,,0.0,1230.0,0.1632115362200237,121312.28,529.0215007917757,0.0927372128953215,0.0,0.3537965190014752,0.2427404538457219,0.000622615236034,0.004874672289938,0.3052285267315092,19907.124492888102,18259.95684154695,18331.13122827465,19907.124492888102,18259.95684154695,18331.13122827465,18309.852100862445
1187,2025-12-01,,0.0,1230.0,0.1632115362200237,121312.28,529.0215007917757,0.0927372128953215,0.0,0.3537965190014752,0.2427404538457219,0.000622615236034,0.004874672289938,0.3052285267315092,18484.94190323149,16956.125310381267,17310.1845604652,18484.94190323149,16956.125310381267,17310.1845604652,17088.01870579429
1187,2026-01-01,,0.0,1230.0,0.1630206623947669,122882.24,529.1472534537244,0.0926292204275149,0.0,0.3554834514835276,0.2397212634953035,0.0005657018573205,0.0048921061194252,0.3067082566169081,18592.86425768939,15971.53866863488,16046.352075391416,18592.86425768939,15971.53866863488,16046.352075391416,16039.515347508277
1187,2026-02-01,,0.0,1230.0,0.1630206623947669,122882.24,529.1472534537244,0.0926292204275149,0.0,0.3554834514835276,0.2397212634953035,0.0005657018573205,0.0048921061194252,0.3067082566169081,20268.05310734053,17921.662865947033,18126.93293533464,20268.05310734053,17921.662865947033,18126.93293533464,18023.608802219158
1187,2026-03-01,,0.0,1230.0,0.1630206623947669,122882.24,529.1472534537244,0.0926292204275149,0.0,0.3554834514835276,0.2397212634953035,0.0005657018573205,0.0048921061194252,0.3067082566169081,20456.87509877421,17909.044294617437,18104.819242893253,20456.87509877421,17909.044294617437,18104.819242893253,18011.68395248516
1187,2026-04-01,,0.0,1230.0,0.1630206623947669,122882.24,529.1472534537244,0.0926292204275149,0.0,0.3554834514835276,0.2397212634953035,0.0005657018573205,0.0048921061194252,0.3067082566169081,21183.06945797929,17793.705139187092,17860.368858154045,21183.06945797929,17793.705139187092,17860.368858154045,17872.66305996115
1187,2026-05-01,,0.0,1230.0,0.1630206623947669,122882.24,529.1472534537244,0.0926292204275149,0.0,0.3554834514835276,0.2397212634953035,0.0005657018573205,0.0048921061194252,0.3067082566169081,20399.800731848634,18236.845950927072,18600.55083043246,20399.800731848634,18236.845950927072,18600.55083043246,18382.672035327152
